Model Year,Brand Name,Model Name,Engine capacity,Spare key,Transmission,KM driven,Ownership,Fuel type,Imperfections,Repainted Parts
2022,Maruti,BREZZA ZXI SMART HYBRID,1462,Yes,Manual,18859,1,Petrol,6,0
2021,Maruti,New Wagon-R ZXI 1.2 AMT,1197,Yes,Automatic,26550,1,Petrol,2,8
2020,Maruti,Dzire ZXI PLUS AMT,1197,Yes,Automatic,56042,2,Petrol,13,4
2022,Maruti,New Wagon-R VXI 1.0 AMT,998,Yes,Automatic,28720,1,Petrol,4,0
2017,Maruti,Baleno ZETA CVT PETROL 1.2,1197,No,Automatic,113814,2,Petrol,7,5
2014,Maruti,Wagon R 1.0 LXI CNG,998,Yes,Manual,81895,1,CNG,6,5
2017,Maruti,Baleno ZETA DIESEL 1.3,1248,Yes,Manual,107690,2,Diesel,6,3
2017,Maruti,Celerio ZXI AMT,998,Yes,Automatic,33857,2,Petrol,9,0
2016,Maruti,Baleno DELTA PETROL 1.2,1197,Yes,Manual,43273,1,Petrol,16,3
2018,Maruti,Ciaz ALPHA AT 1.5 SHVS PETROL,1462,Yes,Automatic,57301,1,Petrol,6,4
2016,Maruti,Ciaz VXI,1373,No,Manual,99639,1,Petrol,14,0
2018,Maruti,Baleno ALPHA CVT PETROL 1.2,1197,Yes,Automatic,15600,1,Petrol,4,4
2018,Maruti,Baleno ZETA CVT PETROL 1.2,1197,Yes,Automatic,43313,1,Petrol,2,5
2013,Maruti,Swift ZXI,1197,No,Manual,42338,1,Petrol,22,8
2015,Maruti,Alto 800 LXI CNG,796,Yes,Manual,68920,2,CNG,11,6
2017,Maruti,Dzire LXI,1197,Yes,Manual,89378,2,Petrol,8,8
2016,Maruti,Swift VXI O,1197,No,Manual,35970,1,Petrol,23,4
2016,Maruti,Celerio ZXI,998,Yes,Manual,33655,1,Petrol,23,0
2016,Maruti,Ciaz VDI SHVS,1248,Yes,Manual,96990,1,Diesel,5,2
2015,Maruti,Ertiga VXI CNG,1373,No,Manual,52143,3,CNG,18,5
2015,Maruti,Wagon R 1.0 VXI AMT,998,Yes,Automatic,95214,1,Petrol,21,0
2016,Maruti,Baleno DELTA CVT PETROL 1.2,1197,Yes,Automatic,34019,1,Petrol,15,2
2017,Maruti,Vitara Brezza VDI,1248,No,Manual,53293,1,Diesel,25,3
2015,Maruti,Baleno ZETA DIESEL 1.3,1248,Yes,Manual,56687,1,Diesel,9,6
2022,Maruti,BREZZA ZXI SMART HYBRID,1462,Yes,Manual,5377,1,Petrol,1,1
2021,Maruti,Alto LXI,796,Yes,Manual,26866,1,Petrol,8,9
2014,Maruti,Ertiga VXI CNG,1373,Yes,Manual,62157,2,CNG,16,6
2023,Maruti,New Wagon-R LXI 1.0,998,Yes,Manual,1958,1,Petrol,4,0
2019,Maruti,Baleno DELTA CVT PETROL 1.2,1197,Yes,Automatic,16547,2,Petrol,3,9
2017,Maruti,Wagon R 1.0 LXI CNG,998,Yes,Manual,57012,2,CNG,13,2
2016,Maruti,Celerio ZXI AMT,998,Yes,Automatic,76727,1,Petrol,17,3
2021,Maruti,Ciaz DELTA 1.5 SHVS MT PETROL,1462,Yes,Manual,30926,1,Petrol,3,2
2018,Maruti,Baleno ALPHA CVT PETROL 1.2,1197,Yes,Automatic,44613,2,Petrol,5,8
2015,Maruti,Celerio VXI AMT,998,Yes,Automatic,73092,2,Petrol,29,1
2014,Maruti,Swift VXI,1197,No,Manual,53120,1,Petrol,5,3
2017,Maruti,Wagon R 1.0 VXI,998,No,Manual,22280,1,Petrol,6,1
2014,Maruti,Wagon R 1.0 LXI CNG,998,No,Manual,99498,2,CNG,19,2
2017,Maruti,Wagon R 1.0 LXI CNG,998,Yes,Manual,56359,2,CNG,9,4
2019,Maruti,Celerio VXI CNG,998,Yes,Manual,35436,1,CNG,3,3
2013,Maruti,Wagon R Stingray VXI,998,No,Manual,35954,1,Petrol,25,3
2016,Maruti,Swift Dzire VXI,1197,No,Manual,49757,2,Petrol,27,4
2020,Maruti,S Cross ALPHA AT SMART HYBRID,1462,Yes,Automatic,29624,1,Petrol,2,0
2020,Maruti,S PRESSO VXI CNG,998,No,Manual,66992,1,CNG,4,2
2015,Maruti,Wagon R 1.0 VXI,998,No,Manual,28048,2,Petrol,16,4
2015,Maruti,Ertiga ZDI,1248,No,Manual,74875,1,Diesel,17,10
